actual_dtg,budget_mojo,domestic total gross,genre,movie title,rating,release date,runtime (mins),budget_imdb,imdbscore,metascore,title,budget
100489151,10000000.0,584423800,Drama / Thriller,Airport,G,1970-03-05,137,100489150.0,6.6,,Airport,10000000.0
115000000,0.0,580914300,Period Comedy,American Graffiti,PG,1973-08-01,110,115000000.0,7.5,,American Graffiti,115000000.0
36000000,5000000.0,578618200,Historical Epic,The Robe,Unrated,1953-09-16,135,5000000.0,6.8,,The Robe,5000000.0
423315812,225000000.0,571314800,Period Adventure,Pirates of the Caribbean: Dead Man's Chest,PG-13,2006-07-07,151,225000000.0,7.3,53.0,Pirates of the Caribbean: Dead Man's Chest,225000000.0
42000000,6000000.0,571200000,Adventure Comedy,Around the World in 80 Days,G,1956-10-17,188,42000000.0,6.8,,Around the World in 80 Days,6000000.0
102247150,0.0,98222200,Animation,Bambi,G,1942-08-21,69,102797150.0,7.3,,Bambi,102797150.0
119601481,0.0,558931200,Western Comedy,Blazing Saddles,R,1974-02-07,93,119500000.0,7.8,73.0,Blazing Saddles,119500000.0
251188924,35000000.0,556518800,Action / Adventure,Batman,PG-13,1989-06-23,126,35000000.0,7.6,69.0,Batman,35000000.0
21333333,0.0,554666700,Drama,The Bells of St. Mary's,Unrated,1945-12-07,126,1300000.0,7.4,,The Bells of St. Mary's,1300000.0
377845905,94000000.0,543997100,Fantasy,The Lord of the Rings: The Return of the King,PG-13,2003-12-17,200,94000000.0,8.9,94.0,The Lord of the Rings: The Return of the King,94000000.0
380843261,94000000.0,498023300,Animation,Finding Nemo,G,2003-05-30,104,94000000.0,8.1,90.0,Finding Nemo,94000000.0
116000000,14000000.0,542560900,Action Thriller,The Towering Inferno,PG,1974-12-14,165,116000000.0,6.9,,The Towering Inferno,14000000.0
532177324,200000000.0,534312600,Sci-Fi Adventure,Rogue One: A Star Wars Story,PG-13,2016-12-16,133,200000000.0,7.9,65.0,Rogue One: A Star Wars Story,200000000.0
93141149,0.0,166792500,Animation,Cinderella,G,1950-03-04,74,2900000.0,7.3,,Cinderella,2900000.0
373585825,200000000.0,531803300,Action / Adventure,Spider-Man 2,PG-13,2004-06-30,127,200000000.0,7.3,83.0,Spider-Man 2,200000000.0
72000000,17000000.0,530400000,Musical,My Fair Lady,G,1964-10-21,170,17000000.0,7.9,,My Fair Lady,17000000.0
36000000,4000000.0,530400000,Drama,The Greatest Showman on Earth,Unrated,1952-01-10,152,36000000.0,6.7,,The Greatest Showman on Earth,4000000.0
141600000,0.0,453677600,Comedy,National Lampoon's Animal House,R,1978-07-28,109,3000000.0,7.6,82.0,National Lampoon's Animal House,3000000.0
370782930,30000000.0,527089800,Historical Drama,The Passion of the Christ,R,2004-02-25,126,0.0,7.2,47.0,The Passion of the Christ,30000000.0
380270577,113000000.0,524429300,Sci-Fi Fantasy,Star Wars: Episode III - Revenge of the Sith,PG-13,2005-05-19,146,113000000.0,7.6,68.0,Star Wars: Episode III - Revenge of the Sith,113000000.0
210609762,19000000.0,522007800,Sci-Fi Adventure,Back to the Future,PG,1985-07-03,111,19000000.0,8.5,86.0,Back to the Future,19000000.0
342551365,94000000.0,506525500,Fantasy,The Lord of the Rings: The Two Towers,PG-13,2002-12-18,179,94000000.0,8.7,88.0,The Lord of the Rings: The Two Towers,94000000.0
448139099,250000000.0,509023200,Action Thriller,The Dark Knight Rises,PG-13,2012-07-20,165,250000000.0,8.5,78.0,The Dark Knight Rises,250000000.0
