actual_dtg,budget,domestic total gross,genre,movie title,rating,release date,runtime (mins)
281576461,150000000.0,412792000,Sci-Fi Action,The Matrix Reloaded,R,2003-05-15,138
319246193,150000000.0,410194200,Sci-Fi Action,Transformers,PG-13,2007-07-03,143
174803506,,408429700,Adventure Comedy,Crocodile Dundee,PG-13,1986-09-26,93
9183673,800000.0,405918400,War Drama,The Four Horsemen of the Apocalypse,Unrated,1921-03-06,134
216540909,70000000.0,404404100,War,Saving Private Ryan,R,1998-07-24,170
86273333,2800000.0,403521800,Horror Comedy,Young Frankenstein,PG,1974-12-15,106
87404651,4000000.0,288098500,Animation,Peter Pan,G,1953-02-05,76
153083102,,389824200,Horror Comedy,Gremlins,PG,1984-06-08,106
218967620,25000000.0,309096900,Animation,Beauty and the Beast,G,1991-11-15,84
291710957,180000000.0,399357700,Fantasy,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",PG,2005-12-09,132
290013036,150000000.0,399349400,Fantasy,Harry Potter and the Goblet of Fire,PG-13,2005-11-18,153
309420425,300000000.0,397569300,Period Adventure,Pirates of the Caribbean: At World's End,PG-13,2007-05-25,168
261988482,100000000.0,397056400,Fantasy,Harry Potter and the Chamber of Secrets,PG,2002-11-15,161
183875760,,392472300,Action Thriller,The Fugitive,PG-13,1993-08-06,130
21750000,,392387800,Drama,The Caine Mutiny,Unrated,1954-06-24,124
318412101,140000000.0,392017400,Action / Adventure,Iron Man,PG-13,2008-05-02,126
352390543,195000000.0,391266300,Sci-Fi Action,Transformers: Dark of the Moon,PG-13,2011-06-29,154
279261160,80000000.0,390489500,Comedy,Meet the Fockers,PG-13,2004-12-22,114
317101119,185000000.0,390414200,Period Adventure,Indiana Jones and the Kingdom of the Crystal Skull,PG-13,2008-05-22,120
191796233,,387796000,Animation,Toy Story,G,1995-11-22,81
184208848,22000000.0,386301800,Western,Dances with Wolves,PG-13,1990-11-09,183
129795554,,385926600,Romance,An Officer and a Gentleman,R,1982-07-30,122
56954992,12000000.0,382720500,Sci-Fi Adventure,2001: A Space Odyssey,G,1968-04-03,139
172825435,25000000.0,382698600,Drama,Rain Man,R,1988-12-16,133
368384330,75000000.0,382540500,Animation,The Secret Life of Pets,PG,2016-07-08,90
56666667,4000000.0,382391900,Drama,Guess Who's Coming to Dinner,Unrated,1967-12-11,108
356461711,175000000.0,381769500,Animation,Inside Out,PG,2015-06-19,94
350126372,58800000.0,380827200,Drama,American Sniper,R,2014-12-25,132
106260000,,380298900,Drama,Kramer Vs. Kramer,PG,1979-12-19,105
201578182,140000000.0,379946900,Sci-Fi Action,Armageddon,PG-13,1998-07-01,144
383383494,200000000.0,383383500,Action / Adventure,Guardians of the Galaxy Vol. 2,PG-13,2017-05-05,137
32000000,806947.0,377173400,Horror Thriller,Psycho,M,1960-06-16,109
125049125,,373285200,Sports Drama,Rocky III,PG,1982-05-28,99
292004738,150000000.0,375192100,Fantasy,Harry Potter and the Order of the Phoenix,PG-13,2007-07-11,139
150415432,,374555600,Action,Rambo: First Blood Part II,R,1985-05-22,94
184031112,100000000.0,373985100,Action / Adventure,Batman Forever,PG-13,1995-06-16,122
363070709,58000000.0,373869900,Action,Deadpool,R,2016-02-12,106
178406268,14000000.0,372839600,Romantic Comedy,Pretty Woman,R,1990-03-23,119
79666653,7000000.0,372620700,Action Thriller,Earthquake,PG,1974-11-15,123
334191110,200000000.0,371603700,Family Adventure,Alice in Wonderland,PG,2010-03-05,109
261441092,92000000.0,371544800,Animation,The Incredibles,PG,2004-11-05,115
233632142,90000000.0,370344600,Drama,Cast Away,PG-13,2000-12-22,143
173585516,,369950400,Family Comedy,Home Alone 2: Lost in New York,PG,1992-11-20,120
364001123,175000000.0,368722900,Adventure,The Jungle Book,PG,2016-04-15,105
167780960,11000000.0,368661400,Comedy,Three Men and a Baby,PG,1987-11-25,102
241438208,5000000.0,366148200,Romantic Comedy,My Big Fat Greek Wedding,PG,2002-04-19,95
333176600,170000000.0,364009700,Action / Adventure,Guardians of the Galaxy,PG-13,2014-08-01,121
353007020,190000000.0,362650300,Action,Furious 7,PG-13,2015-04-03,137
180981856,80000000.0,361963700,Action,Mission: Impossible,PG-13,1996-05-22,110
337135885,125000000.0,360025800,Action / Adventure,The Hunger Games: Mockingjay - Part 1,PG-13,2014-11-21,123
336045770,74000000.0,359913900,Animation,Minions,PG,2015-07-10,91
94213184,,358945900,Music Drama,Saturday Night Fever,R,1977-12-16,118
119285432,,358765500,Drama,On Golden Pond,PG,1981-12-04,109
206040086,33000000.0,358542200,Comedy,Austin Powers: The Spy Who Shagged Me,PG-13,1999-06-11,95
301959197,250000000.0,357764700,Fantasy,Harry Potter and the Half-Blood Prince,PG,2009-07-15,153
242829261,81000000.0,355988500,Fantasy Comedy,Bruce Almighty,PG-13,2003-05-23,101
249541069,130000000.0,355224300,Fantasy,Harry Potter and the Prisoner of Azkaban,PG,2004-06-04,142
52223306,,353600000,Musical,Funny Girl,G,1968-09-18,151
215409889,125000000.0,353288200,Action,Mission: Impossible II,PG-13,2000-05-24,123
226164286,90000000.0,353231800,Action Comedy,Rush Hour 2,PG-13,2001-08-03,90
173837933,,349680500,Action Thriller,Apollo 13,PG,1995-06-30,140
61749765,12000000.0,352172900,War,Patton,PG,1970-02-04,170
156645693,,350777800,Thriller,Fatal Attraction,R,1987-09-18,123
341268248,,350117900,Animation,Zootopia,PG,2016-03-04,108
181410615,,349383400,Fantasy Comedy,Liar Liar,PG-13,1997-03-21,86
165493908,48000000.0,347497900,Period Adventure,Robin Hood: Prince of Thieves,PG-13,1991-06-14,143
153665036,,347416600,Action Comedy,Beverly Hills Cop II,R,1987-05-20,103
312433331,200000000.0,347410100,Action / Adventure,Iron Man 2,PG-13,2010-05-07,125
293004164,175000000.0,347180200,Animation,Up,PG,2009-05-29,96
162831698,80000000.0,346851100,Action / Adventure,Batman Returns,PG-13,1992-06-19,126
227966634,72000000.0,346825400,Sci-Fi Horror,Signs,PG-13,2002-08-02,107
108185706,54000000.0,344015000,Action / Adventure,Superman II,PG,1981-06-19,128
296623634,50000000.0,343965100,Romance,The Twilight Saga: New Moon,PG-13,2009-11-20,130
66000000,,343200000,Comedy,"What's Up, Doc?",G,1972-03-09,94
103290500,,339437900,Comedy,9 to 5,PG,1980-12-19,110
330360194,250000000.0,338224000,Action / Adventure,Batman v Superman: Dawn of Justice,PG-13,2016-03-25,151
158348367,,338115800,Thriller,The Firm,R,1993-07-02,154
325100054,175000000.0,337503000,Action / Adventure,Suicide Squad,PG-13,2016-08-05,130
156452370,70000000.0,336505800,Fantasy Comedy,Who Framed Roger Rabbit,PG,1988-06-24,103
304360277,200000000.0,334523300,Action,Skyfall,PG-13,2012-11-09,143
