actual_dtg,budget,domestic total gross,genre,movie title,rating,release date,runtime (mins)
"$21,333,333",N/A,"$554,666,700",Drama,The Bells of St. Mary's,Unrated,"December 7, 1945",2 hrs. 6 min.
"$377,845,905",$94 million,"$543,997,100",Fantasy,The Lord of the Rings: The Return of the King,PG-13,"December 17, 2003",3 hrs. 20 min.
"$380,843,261",$94 million,"$498,023,300",Animation,Finding Nemo,G,"May 30, 2003",1 hrs. 44 min.
"$116,000,000",$14 million,"$542,560,900",Action Thriller,The Towering Inferno,PG,"December 14, 1974",2 hrs. 45 min.
"$532,177,324",$200 million,"$534,312,600",Sci-Fi Adventure,Rogue One: A Star Wars Story,PG-13,"December 16, 2016",2 hrs. 13 min.
"$93,141,149",N/A,"$166,792,500",Animation,Cinderella,G,"March 4, 1950",1 hrs. 14 min.
"$373,585,825",$200 million,"$531,803,300",Action / Adventure,Spider-Man 2,PG-13,"June 30, 2004",2 hrs. 7 min.
"$72,000,000",$17 million,"$530,400,000",Musical,My Fair Lady,G,"October 21, 1964",2 hrs. 50 min.
"$36,000,000",$4 million,"$530,400,000",Drama,The Greatest Showman on Earth,Unrated,"January 10, 1952",2 hrs. 32 min.
"$141,600,000",N/A,"$453,677,600",Comedy,National Lampoon's Animal House,R,"July 28, 1978",1 hrs. 49 min.
"$370,782,930",$30 million,"$527,089,800",Historical Drama,The Passion of the Christ,R,"February 25, 2004",2 hrs. 6 min.
"$380,270,577",$113 million,"$524,429,300",Sci-Fi Fantasy,Star Wars: Episode III - Revenge of the Sith,PG-13,"May 19, 2005",2 hrs. 26 min.
"$210,609,762",$19 million,"$522,007,800",Sci-Fi Adventure,Back to the Future,PG,"July 3, 1985",1 hrs. 51 min.
"$342,551,365",$94 million,"$506,525,500",Fantasy,The Lord of the Rings: The Two Towers,PG-13,"December 18, 2002",2 hrs. 59 min.
"$448,139,099",$250 million,"$509,023,200",Action Thriller,The Dark Knight Rises,PG-13,"July 20, 2012",2 hrs. 45 min.
"$293,506,292",$40 million,"$508,999,500",Horror,The Sixth Sense,PG-13,"August 6, 1999",1 hrs. 47 min.
"$134,218,018",$55 million,"$507,045,800",Action / Adventure,Superman,PG,"December 15, 1978",2 hrs. 23 min.
"$503,860,035",$160 million,"$503,860,000",Fantasy,Beauty and the Beast,PG,"March 17, 2017",2 hrs. 9 min.
"$177,200,000",$21 million,"$503,030,800",Comedy,Tootsie,PG,"December 17, 1982",1 hrs. 59 min.
"$126,737,428",N/A,"$502,403,100",Action Comedy,Smokey and the Bandit,PG,"May 27, 1977",1 hrs. 36 min.
"$486,295,561",N/A,"$496,437,500",Animation,Finding Dory,PG,"June 17, 2016",1 hrs. 43 min.
"$43,656,822",$6 million,"$494,777,300",Musical,West Side Story,Unrated,"October 18, 1961",2 hrs. 31 min.
"$317,575,550",$125 million,"$494,270,700",Fantasy,Harry Potter and the Sorcerer's Stone,PG,"November 16, 2001",2 hrs. 33 min.
"$93,602,326",$4 million,"$335,850,400",Animation,Lady and the Tramp,G,"June 22, 1955",1 hrs. 15 min.
"$132,088,635",$20 million,"$439,716,200",Sci-Fi,Close Encounters of the Third Kind,PG,"November 16, 1977",2 hrs. 17 min.
"$44,824,144",N/A,"$473,513,200",Historical Epic,Lawrence of Arabia,PG,"December 21, 1962",3 hrs. 36 min.
"$112,892,319",N/A,"$486,813,700",Musical,The Rocky Horror Picture Show,R,"September 26, 1975",1 hrs. 40 min.
"$117,235,147",N/A,"$486,553,400",Sports Drama,Rocky,PG,"November 21, 1976",1 hrs. 59 min.
"$23,650,000",N/A,"$486,200,000",Drama,The Best Years of Our Lives,Unrated,"November 21, 1946",2 hrs. 52 min.
"$84,563,118",N/A,"$485,333,300",Action Drama,The Poseidon Adventure,PG,"December 13, 1972",1 hrs. 57 min.
"$315,544,750",$93 million,"$481,512,600",Fantasy,The Lord of the Rings: The Fellowship of the Ring,PG-13,"December 19, 2001",2 hrs. 58 min.
"$241,721,524",$92 million,"$483,443,100",Action Drama,Twister,PG-13,"May 10, 1996",1 hrs. 53 min.
"$250,690,539",$90 million,"$482,811,400",Sci-Fi Comedy,Men in Black,PG-13,"July 2, 1997",1 hrs. 37 min.
"$27,200,000",$3 million,"$480,896,000",War Drama,The Bridge on the River Kwai,PG,"December 18, 1957",2 hrs. 41 min.
"$402,111,870",$200 million,"$476,484,200",Sci-Fi Action,Transformers: Revenge of the Fallen,PG-13,"June 24, 2009",2 hrs. 24 min.
"$46,332,858",$9.4 million,"$476,258,700",Comedy,"It's a Mad, Mad, Mad, Mad World",G,"November 7, 1963",3 hrs. 12 min.
"$40,356,000",N/A,"$475,662,700",Family Adventure,Swiss Family Robinson,G,"December 10, 1960",2 hrs. 6 min.
"$108,981,275",$3 million,"$474,578,600",Drama,One Flew Over the Cuckoo's Nest,R,"November 20, 1975",2 hrs. 13 min.
"$81,600,000",$3.5 million,"$474,568,400",Comedy / Drama,M.A.S.H.,R,"January 25, 1970",1 hrs. 56 min.
"$179,870,271",$28 million,"$473,230,100",Period Adventure,Indiana Jones and the Temple of Doom,PG,"May 23, 1984",1 hrs. 58 min.
"$459,005,868",$250 million,"$473,177,900",Action / Adventure,Avengers: Age of Ultron,PG-13,"May 1, 2015",2 hrs. 21 min.
"$310,676,740",$115 million,"$459,788,400",Sci-Fi Fantasy,Star Wars: Episode II - Attack of the Clones,PG,"May 16, 2002",2 hrs. 12 min.
"$219,195,243",$25 million,"$465,729,900",Family Comedy,Mrs. Doubtfire,PG-13,"November 24, 1993",2 hrs. 5 min.
